num,score,jixiong,short,brief,indication,foundation,family,health,future,fortune,description
11,98,大吉,万物更新，调顺发达，恢弘泽世，繁荣富贵。,旱苗逢雨,"挽回家运的成育数
吉祥运（表示健全、幸福、名誉等）。
温和运（性情平和、能得上下信望）。",财星、天使、暗禄、文昌、技艺、田宅。,养蜂结蜜，事事和顺，处处温和。,河川永在，可望健康长寿。,草木逢春、枝叶沾露、稳健着实、必得人望。,天时地利人和，有贵相助，名利双收，步步高升，荣华富贵。,"(1)享有天赋幸运，万事顺利，有得富贵荣誉，再兴家业的暗示，得挽回家运、平静和顺的最大吉数。
(2)看来是吉星高照，逢凶化吉之数，一生能平顺通达，福财禄不缺，很早就能享名望，一生敢做敢当，脚踏实地，深受同业或朋友敬佩。此数也是草木逢春、处处生机、天资聪颖之数，为人平稳踏实，得名望，当可大展鸿图。但主观意念稍重，易陷独断独行，反招人怨。"
12,55,凶,无理之数，发展薄弱，虽生不足，难酬志向。,挖井无泉(掘井无泉),"意志脆弱，家庭寂寞数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。",凶星、破危、劫财、时禄（一段好运）。,亲情如秋水，骨肉似寒炭，施恩招怨恨，宜提高气节。,枯木待春，小心神经衰弱，肝、胃病之疾、多伤（害），皮肤病，三才善良者，可望安全。,薄弱无力、孤立无摇、外祥内苦、谋事难成。,君臣之像，心比天高，自不量力，劳累奔波，有财易大起大落。,"(1)有无理伸张之意，不顾脆弱之力，企图做无能力做的事，多失败。退事易生不足之心，家庭无缘、孤独、遇难、逆境、病弱、不如意、困难等，又可有其他运配合而导致意外的失败，甚至有不能完寿的悲运。
(2)做事经不起考验，容易患得患失，遇事则易半途而废，错失良机而后悔莫及，凡事不堪打击，一败涂地，自怜自艾。常图非份之心，招致失败，以致陷入苦境。家族缘甚薄。个性温文儒雅，受朋友欢迎及长辈提拔，但意志薄弱，身体差，无法居领导位置，宜过安稳固定之生活。"
13,98,大吉,才艺多能，智谋奇略，忍柔当事，鸣奏大功。,春阳牡丹(春日牡丹),"智能超群的成功数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。",天（官）、领袖、文昌、技艺、进财、学士、田产、财库。,可得健康长寿、后天三才不善良者不遇。（注意，刑罚、牢狱、刑伤等流血事件）。,祖宗余荫，子孙孝顺，可得圆满。,天赋吉运、能得人望、善用智慧、必获成功。,有贵有助，长辈推荐，贵人提拔，名利双收。,"(1)富学艺术才能，有智谋奇略，忍柔当事，任何事皆巧凑大功。为得享受幸福荣华的好诱导，充满智慧是其特点。
(2)适合作为领导型人物，外向好动，若从事社交公关、旅行或业务工作，容易发挥长才而获成功。为人足智多谋，多才博学，善于处理事务，具有随机应变之能力，获得大成功之吉数。唯因充满自信，逞其能者，有弄巧反拙，错失良机之暗示。因善外交辞令，应对得体，人缘好，受人欢迎，喜爱热闹场合，性急不拘小节，容易早交异性，人缘好，社会声望崇高。"
14,45,凶,家庭缘薄，孤独遭难，谋事不达，悲惨不测。,破兆,"沦落天崖的失意、烦闷数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。
孤独运（妻不利夫或夫不利妻）。",暗禄、美貌、艺术、流浪、红舞、劫财。事业半途而废（不愿做完或开除、失业、下岗等））。,骨肉疏远，离祖迁居，自家兄弟全无缘分，外处事有缘分。,男女均属好貌或身材（才）。皮肤病、感冒、风湿病，三才配置善良，可保健康。,吃得苦难、必有后福、是成是败、惟靠坚毅。,虽有意外收获，易被他人牵连祸害，先甜后苦，大起大落。,"(1)多破兆，家属缘薄。丧亲、丧子（或无子），兄弟姐妹分离孤独，不如意、烦闷、危难、遭恶、浮沉不定，为了慷慨，施惠招怨，劳而无功，凄惨孤独，其他运者不多，有伤天寿。
(2)常为经济拮据而困扰，因本位主义太重，不听劝告，一意孤行，为人好虚荣，重外表，不充实内涵，以致诸事不能如意，一生暗淡，家族缘薄，孤独无依，亲友缘薄不得助，孤僻冷漠，为人高傲，所以生活方面很苦闷。"
15,98,大吉,福寿圆满，富贵荣誉，涵养雅量，德高望重。,福寿,"福寿共照的立身兴家数
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。",天（官）、贵人、福是、百禄、畜产（喜养殖）、富翁。,清静家田（园），圆满之相，子孙昌盛。,海底明珠，安稳余庆，健康自如。,谨恭做事、外得人和、大事成就、一门兴隆。,天时地利人和，官运亨通，财富丰盈，辉煌腾达。,"(1)此数为最大好运，福寿圆满之相，顺和、雅量、多受福泽，德高望重，自成大业，富贵荣华，吉祥有德，繁荣兴家的大吉数。
(2)此数容易成功，少年早发，中年即能名利双收，富贵显耀，轻松获得成功，圆满无缺之大吉祥之数，因思想新颖而多变化且为人温良谦恭，能获得提拔，能成功立业。德高望重，福及子孙也。遇困难能得贵人相助，凡事能逢凶化吉；财运不错，为人慷慨大方，受人欢迎，身心健康，精力旺盛，一生少有病痛。"
16,98,大吉,厚德载物，安富尊荣，财官双美，功成名就。,厚重,"兴家得助的贵人数
首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。",天（官）、贵（人）命、豪杰、进田、学士、豪侠、置产。,春月花开，可望家庭圆满，男子有贤妻，女子不宜早婚。,花草逢春，贵弱于色情，戒慎者可望健康。,能获众望、成就大业、名利双收、盟主四方。,财涌自然来，天赋亨通，富裕荣华，名利双收。,"(1)反凶化育之相，成首领，占上峰，雅量厚重，豪侠足智多谋，善于协调，集名望，能服从，为大事大业可成，富贵发达的好暗示。
(2)为人较爱面子，一生奋发，有果断力，能任劳任怨不辞劳苦，容易成就财富与功名，而受众人拥戴、推崇，又能获长上器重，而得到名望，成就一番事业，是富贵吉祥之数。与人谦恭有礼也乐于助人，人缘好，乐观幽默，深得异性喜爱；精力充沛，耐性也够。"
17,78,半吉,权威刚强，突破万难，如能容忍，必获成功。,坚刚(刚强),"突破万难的刚毅数
次吉祥运（表示多少有些障碍，但能获得吉运）。
刚情运（性刚固执、意气用事）。",天、将星、威武、艺术、文明、,女性若能修养女德，贤惠者可得圆满。,心身健康，可望长寿。,排除万难、有贵人助、把握时机、可获成功。,办事能力强，额外收入，如能行善，必得昌盛。,"(1)权威刚强，有己无人，以至与人不和，如善于避开此短处，则为大吉，意志坚定，有突破万难的气节，是最大的优点，如过于无理任性，恐反成为失败，如果立志勇往直前，必会成功而建大业，若陷过刚变成固执，必招恶患，切要警戒，妇女有此数者，易流入男性，如果能涵养女德，存心温和，福禄自然随致，但先天条件弱的妇女，反而用此数为妥。
(2)拥有坚忍的毅力令人敬畏，但负担过重，有时会突然崩溃，要小心！做事具有权威性，然而固执己意，缺乏沟通及宽容大量，然知过而无法改善，因之有失人和，受到非议或招失败。若能从善如流，即可大获成功。凡事喜自行做主，所以主观强，不甘屈居于人下，比较不擅处理人际关系，而易招嫉妒，容易为小事而与人争辩不休，宜小心。"
18,90,吉,权威显达，博得名利，且养柔德，功成名就。,铁镜重磨,"有志竟成的内外吉数
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。
刚情运（性刚固执、意气用事）。",将星、文昌、太极、畜产（喜养殖）、财帛、技艺、刚愚。,有祖宗荫德庇护之福，心慈口硬，宜守和平可望圆满。,心身健全如万年龟蛇，可望长寿。,经商做事、师利昌隆、如能慎始、百事横通。,天时地利，百事顺利，虽有辛苦，财富自来，注意小人，辉煌腾达。,"(1)铁石的心，发达运俱备，（官不大）有权力，有祖荫庇抚（护），有智谋、志向一方，必排诸难，博得名利，但自我心强，缺乏包涵力。要戒坚刚、防非难，宜养柔德，宜慎重勿骄傲。目的贯彻，功成名就。
(2)一生都能脚踏实地做事，有恒心，有毅力，能化阻力为助力，坚忍不拔，过程中容易遇上强劲对手，也有能力应付，且一生中能有权力威望，对事情会全力投入而奋斗不懈，能排除困难，达成目标，最后能名利双收。然因自尊心顽固，以致得不到他人之谅解，影响事业与声望，宜修心养性而安。历经困苦磨练才至成功，律己甚严自视高，给人高傲自大感，容易得罪别人而惹麻烦。"
19,40,凶,风云蔽日，辛苦重来，虽有智谋，万事挫折。,多难,"遮去蔽月的辛苦重来数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",（官）禄、进田、红艳、财富。智谋、凶危（暗含自杀和短命）、破财。,家内朝幕改，众叛亲离，须思手足情，应我意。,风云蔽月，病困、刑罚、杀伤、短命，先天五行属金、水者可望安泰。,成功虽早、慎防亏空、内外不和、障碍重重。,可成富翁、但易奔波流亡，谨慎大起大落。,"(1)有智谋，虽有兴大业，博得名利的实力，但每发生意外的障碍（或陷害），内外不和，困难苦惨不绝。如果主运有此数、又乏其他吉数以相助者，多陷入病弱、孤寡，甚至有夭折，配偶生离死别。刑罚、杀伤等灾难，为万事挫折、非命至极，也叫短命数。也有可成巨富、怪杰、伟人、大官。
(2)为人虽多才多艺且颇有智能，足以建立大业，博得名利，但中途多遇挫折，以致前功尽弃之叹，人生是属独立早熟型，事业、身体易遭损伤，或卷入是非纠纷，而留下痛苦经验，很多事都功亏一篑，有内外不和之象发生。然亦有富翁、伟人出自此数者；为人想象力丰富，对哲学、宗教、设计往往有良好天份。"
20,40,凶,非业破运，灾难重重，进退维谷，万事难成。,屋下藏金,"非业（不正当的事业）、破运的空虚数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。",（官）星、部将、美术、智能、红艳、凶危。,亲情不立、兄弟相隔，离祖成家，凡事百忍则家中能平和。,泥身过海、难以为继，三才配合不善者、命运多难、病弱。,智高志大、历尽艰难、焦心忧虚、进退两难。,不正当的财富，高官簿绿、心术不正、当心丢命。,"(1)物将坏之相，具有短命、非业的诱导，所得大凶之运，一生不得平安，灾难叠至，凶祸频临，不如意，陷于逆境，或导至病弱、短命、非业、破灭、不能支撑一家者，或幼时别亲、而陷入困苦、或者叹子女的不幸、或者丧失配偶。
(2)一生不甘过平静生活，为人刚强自负，心直口快，易生是非、不安，厌倦安定生活，喜欢追求刺激，偶有横发之事发生，但也常有惊滔骇浪之事发生，属不佳之格局。故宜修身养性，耐劳节俭，或可平安。好运来得快也去得快，常有是非缠身、身心疲惫的情况发生，应多行善事。"
21,95,吉,光风霁月，万物确立，官运亨通，大搏名利。,明月中天,"明月照光，体质刚健之数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。",天（官）、太极、文昌、哲学、财库、艺术、福禄、首领、君臣、富翁。,六亲和睦，有中之嗣惠，（有乐极生悲）若女人用则破大运。,秋月鞭蓉，年青健壮、长寿。,先历困苦、后得幸福、霜雪梅花、春来恕放。,高官厚禄、合作聚首、步步为赢、名利双收。,"(1)风光霁月，万物形成月立之势，独立权威，有首领之运，受人尊敬，享受富贵昌荣，渐进发展，中途难免相当苦心，步步而进，如登梯一样，立大业兴家，大博名利，乃贵重的吉数，因系伟大的首领之格，女性得此数者，反招灾害，即妻凌夫之路，（阴阳生暗斗）。自然不得安宁，夫妻难免时常反目，或喜极生悲，且女德不备，家庭不圆满，妻便克夫，所谓两虎相斗，必无双全者，慎戒之。
(2)为人刚强，不服他人管束，一生奋发向上，掌握权力，少年运劳碌辛苦，中年运能建立良好名声、地位，但因好面子不服输，容易争风吃醋，宜涵养心性，命运就像万象更新、冬去春来之象，之间虽有劳苦遭遇，但交好运后就能建家立业，大获成功。一生桃花运多，对感情不易控制情绪；喜欢支配、命令别人，容易当领导。"
22,45,凶,秋草逢霜，困难疾弱，虽出豪杰，人生波折。,天乙(秋草逢霜),"秋草逢霜，贵人相助的数
凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。",官禄、远洋、天乙（贵人）、君臣、将星、劫赌、市财。,和睦相处，可得圆满。,常有暗疾，三好四怯。,秋草逢霜、怀才不遇、忧愁怨基、事不如意。,财路多而为他人做嫁衣，事业一波三折，劳绿奔波。,"(1)百事不如意，志向半途挫折，多属懦，正如秋草逢霜之象，困难、病弱无元气，陷入孤独、逆境不平常，但也有伟人、豪杰有比数者，不过其人生多波折。多才多艺，一般多为官之人，或个体老板。总之，有几起几落，才能成功。
(2)为人柔弱温和，若有贵人多助则易成功，若缺乏进取之心，则凡事易虎头蛇尾，纷争难息，横生枝节，以致将成失败，诸事不能如意，常受挫折，一生怕会体弱多病，身心过劳等。坐这山望那山高，心比较无定见，博学而不专精，眼高手低，不肯脚踏实地，所以外表华丽而内心空虚，身体稍差，做事易累，神经容易衰弱。"
23,95,吉,旭日东升，壮丽壮观，权威旺盛，功名荣达。,壮丽,"旭日东升，发育旺盛数
首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。",首领、君臣、暗禄、财库、宅、学士。,男人园地，女人则零落。,男人可望健康，女性则有孤独之苦。,旭日升天、名显四方、渐次进展、终成大业。,美好事业前途，首领之相，大忌贪财，谨慎亏空，终可发达。,"(1)伟大的昌隆之运，威势冲天之象，微贱出生，逐渐长势，终至首领，有如凯旋之将，猛虎添翼之势，权利旺盛，胜事恐过度而为遗憾，然而感情锐利，壮丽可爱，实属贵重的运数，但女性有此数者不吉，只有一半运，妇女凡主运此数者，难免转成零落而秀榻悲寒。
(2)一生桃花多，有异性缘，且具首领气质，懂得运用群众心理，能得众人拥护为其效命；对部属宽厚，在上司面前则自视太高，容易犯上，不甘屈居人下，但因努力进而致大成功，为人心胸开阔，积极进取，名利俱获，之大吉数。"
24,95,吉,家门余庆，金钱丰盈，白手成家，财源广进。,掘藏得金,"家门余庆的金钱丰盈数
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
温和运（性情平和、能得上下信望）。",天官（领导或头）、福星、文昌、企业、财库、君臣、工商（白手起家的发家财富数）、富贵（富翁）、自私。,不依祖业而立身，家庭圆满，兄弟和睦，但应保持无私。,松柏长青，可望健康。,锦绣前程、须靠自己、多用计谋、能成大功。,白手起家、贵人相助、意外收获，利润不错，财富丰盈。,"(1)路途多有崎岖，实为难免，然而策略智谋出众，白手可以成家，财源广进到老愈丰盛，子孙继承余庆的福运。
(2)心思细密，处事严谨，能于稳健中得到发展，能平步青云；凡事必亲躬，不假人手，自尊强，不愿受人帮助，也能白手从辛苦中起家，个性百折不挠，终就能获得成功，达成愿望。为人方面慷慨，一生善于策划，具有发明力，可享富贵荣华。早年脚踏实地，中年靠信用与才能获得成功，晚年则有发达好收获。用钱精打细算，凡事讲求效益，一生没有大的人生障碍。"
25,88,吉,资性英敏，才能奇特，克服傲慢，尚可成功。,英俊(荣俊),"资性英敏的刚毅数
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。",君臣、领袖（即领导）、福星、文昌、企业（商业）财禄、技艺、财库、进田。,平和而谦虚者，家庭圆满，子孙昌盛。,健康自在，三才善良者可望长寿。,天时地利、只欠人和、讲信修睦、即可成功。,天时地利，女性人和，辉煌腾达，男性笨拙，事业无终。,"(1)资性英敏，有奇特的才能，唯性情不平横而偏重一方，言语多少有点棱角，柔中带硬或者怪异，（注；人格为此数者，讲话带刺，怪人或吹牛，凶吉的中界数）。故涵养不足者，多成怪人，与外人打交道缺少谦虚者无英俊之才，（男性多迟钝、呆楞、胆子小。）自应克制，可成大业。任意用事、傲慢无礼，恐弄吉成凶。此数为女性用之最佳吉数。
(2)外表看似温柔，其实主观强，有一意孤行的倾向，怪僻多，言词犀利，往往令人难以招架；博学多能，记忆好，恩怨分明，自视高，在不知不觉中孤立了自己，因而群体人际关系难得圆融。为人聪颖，具有特殊才能，尽力而为能获得成功，然因常有信口开河、语带尖酸的个性，与人易生不和而影响人际关系，因此不能不对人生信用方面谨慎对待。对学术、艺术感觉敏锐，往此方面较有发展空间。"
26,45,半吉,变怪之谜，英雄豪杰，波澜重叠，而奏大功。,变怪,"变怪奇异的豪侠数
次吉祥运（表示多少有些障碍，但能获得吉运）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。",豪侠、君臣、官禄、侠义、红艳、财库、凶厄、破灭。,亲情无义，妻子无助、若女子温顺可得圆满。,大多破家病弱。（凶恶的癌变数理）。,波澜起伏、千变万化、凌架万难、必可成功。,官运亨通、视财如命、虽有财富，无福消受。,"(1)属波澜重叠，数奇变怪的英雄之运格，有义气侠情，然而变动非常多，风波不息的人生，临万难，越死线，而凑大功者有之，力不足，随波逐流，遇波折而破产、亡家者有之，又因他格的配合，或陷入逆难、淫乱、短命，或者丧失配偶，或丧子丧女，膝下零丁，属大都不得顺境的命运，但不少怪侠、烈士、伟人则出此数者。（注；做事半途而废，此数为官运数理也。为不治之症或短命数理）
(2)生命过程两极化，徘徊在黑暗与光明之间，一是意志不坚者，易臣服于逆境之下。富有侠义精神，常遇骇浪惊涛，如能坚持到最后能寻到生机，但意志软弱者，永无光明之日，困守愁苦之境，此数含有放纵、固执等不祥之兆。二是亦有怪杰、名人、政要、孝子等出自此数者。此格多出英雄、志士、烈女，需有超强意志，忍受煎熬，方能成功，常人勿用，以免弄巧成拙。"
