number,wuxing,jixiong,score,jixiong,brief,short,description,fortune
20,水,凶,40,凶,屋下藏金,非业破运，灾难重重，进退维谷，万事难成。,一生不甘过平静生活，为人刚强自负，心直口快，易生是非、不安，厌倦安定生活，喜欢追求刺激，偶有横发之事发生，但也常有惊滔骇浪之事发生，属不佳之格局。故宜修身养性，耐劳节俭，或可平安。好运来得快也去得快，常有是非缠身、身心疲惫的情况发生，应多行善事。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
21,木,吉,95,吉,明月中天,光风霁月，万物确立，官运亨通，大搏名利。,为人刚强，不服他人管束，一生奋发向上，掌握权力，少年运劳碌辛苦，中年运能建立良好名声、地位，但因好面子不服输，容易争风吃醋，宜涵养心性，命运就像万象更新、冬去春来之象，之间虽有劳苦遭遇，但交好运后就能建家立业，大获成功。一生桃花运多，对感情不易控制情绪；喜欢支配、命令别人，容易当领导。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。"
22,木,凶,45,凶,秋草逢霜,秋草逢霜，困难疾弱，虽出豪杰，人生波折。,为人柔弱温和，若有贵人多助则易成功，若缺乏进取之心，则凡事易虎头蛇尾，纷争难息，横生枝节，以致将成失败，诸事不能如意，常受挫折，一生怕会体弱多病，身心过劳等。坐这山望那山高，心比较无定见，博学而不专精，眼高手低，不肯脚踏实地，所以外表华丽而内心空虚，身体稍差，做事易累，神经容易衰弱。,"凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。"
23,火,吉,95,吉,壮丽,旭日东升，壮丽壮观，权威旺盛，功名荣达。,一生桃花多，有异性缘，且具首领气质，懂得运用群众心理，能得众人拥护为其效命；对部属宽厚，在上司面前则自视太高，容易犯上，不甘屈居人下，但因努力进而致大成功，为人心胸开阔，积极进取，名利俱获，之大吉数。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。"
24,火,吉,95,吉,掘藏得金,家门余庆，金钱丰盈，白手成家，财源广进。,心思细密，处事严谨，能于稳健中得到发展，能平步青云；凡事必亲躬，不假人手，自尊强，不愿受人帮助，也能白手从辛苦中起家，个性百折不挠，终就能获得成功，达成愿望。为人方面慷慨，一生善于策划，具有发明力，可享富贵荣华。早年脚踏实地，中年靠信用与才能获得成功，晚年则有发达好收获。用钱精打细算，凡事讲求效益，一生没有大的人生障碍。,"富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
温和运（性情平和、能得上下信望）。"
25,土,吉,88,吉,荣俊,资性英敏，才能奇特，克服傲慢，尚可成功。,外表看似温柔，其实主观强，有一意孤行的倾向，怪僻多，言词犀利，往往令人难以招架；博学多能，记忆好，恩怨分明，自视高，在不知不觉中孤立了自己，因而群体人际关系难得圆融。为人聪颖，具有特殊才能，尽力而为能获得成功，然因常有信口开河、语带尖酸的个性，与人易生不和而影响人际关系，因此不能不对人生信用方面谨慎对待。对学术、艺术感觉敏锐，往此方面较有发展空间。,"吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。"
26,土,半吉,45,半吉,变怪,变怪之谜，英雄豪杰，波澜重叠，而奏大功。,生命过程两极化，徘徊在黑暗与光明之间，一是意志不坚者，易臣服于逆境之下。富有侠义精神，常遇骇浪惊涛，如能坚持到最后能寻到生机，但意志软弱者，永无光明之日，困守愁苦之境，此数含有放纵、固执等不祥之兆。二是亦有怪杰、名人、政要、孝子等出自此数者。此格多出英雄、志士、烈女，需有超强意志，忍受煎熬，方能成功，常人勿用，以免弄巧成拙。,"次吉祥运（表示多少有些障碍，但能获得吉运）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
27,金,半吉,55,半吉,增长,欲望无止，自我强烈，多受毁谤，尚可成功。,个性急又过于爱面子，早年运尚佳，中年运后渐渐衰微。自尊心颇强，一生不愿向人低头，自视高，很容易眼高手低，由于心智早熟，生性聪明伶俐，我心太强，因之早年能得短暂风发，但中年之后易因得意忘形而招致不顺，以致挫折，心灰意冷，丧失斗志，务宜修心养性，保持人和，处事不可大意，即可保持幸运之延续。虽待人热心，却得不到感激，事业一向平顺，但一旦失败，却又不敢面对现实，需要很长时间才能东山再起。,"次吉祥运（表示多少有些障碍，但能获得吉运）。
刚情运（性刚固执、意气用事）。"
28,金,凶,55,凶,阔水浮萍,遭难之数，豪杰气概，四海漂泊，终世浮躁。,一生中有一意孤行的倾向，心灵空虚容易受伤，因此会留下深刻阴影。一生中物质运丰盛不虞匮乏，很容易受亲友的连累与误解，以致造成情绪上的不安，由于生性豪爽，因此比较容易受流言中伤，引起误解而招来反感，家族六亲缘微薄。,"凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。
刚情运（性刚固执、意气用事）。"
29,水,半吉,85,半吉,智谋,智谋优秀，财力归集，名闻海内，成就大业。,为人聪明能干，特色是英敏果决，善于领导，易得功名。虽自视高，但负责任，能得部属尊敬及上司器重，做事严己律己，可成众人表率，早享名望和地位。为人智谋兼备，具有崇高理想，永远都是精力旺盛，但因不能满足欲望，一意想攀登高峰，以致一落千丈。故知足为乐，谨慎才能无忧。,"首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
次吉祥运（表示多少有些障碍，但能获得吉运）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
30,水,半吉,55,半吉,非运,沉浮不定，凶吉难变，若明若暗，大成大败。,因喜从事冒险活动，所以一生中会有一、二次大困境，但在最危险关头，总会化险为夷，渡过以后就会一帆风顺，功成名就。然而因心情浮沉不定，为人少有定见，处事抓不到重心，以致亦胜亦败，最后可能招致失败。一生中须靠贵人来帮助方可成功。故应认清目标，贯彻始终才能有所成就。做喜事朝三暮四，又爱冒险投机，过不惯平稳安定生活，在判断上如果一意孤行，容易一夕间可能招致身败名裂。,次吉祥运（表示多少有些障碍，但能获得吉运）。
31,木,大吉,98,大吉,春日花开,智勇得志，博得名利，统领众人，繁荣富贵。,为人善于领导，乐于助人，做事总不甘屈居于人下，年轻就容易当上主管或老板。一生财运丰，生活重品味，身体健康良好，如能创业则大吉。为人仁德兼备。有坚定意志能克服困难建立事业，能名利双收，深得得众人拥戴景仰，可享富贵荣华，一生务实进取、努力不懈，能在社会得到好名声与地位。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
温和运（性情平和、能得上下信望）。"
32,木,大吉,98,大吉,宝马金鞍,侥幸多望，贵人得助，财帛如裕，繁荣至上。,一生中容易获得长辈上司眷顾与提携，能享受庇荫而成功。唯个性急，无定性，博学而不精，但人际关系较圆满，尚能获得他人之助，要顺利成功并不难。为人诚实，认真努力，一生中也善抓住机会，又有贵人提携，终能获得成功，是为光耀门楣之大吉数。为人比较擅交朋友，精于策划，但执行力较差，须依靠别人提拔、合作才获成功。声望地位佳。,"富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。
温和运（性情平和、能得上下信望）。"
33,火,吉,88,吉,旭日升天,旭日升天，鸾凤相会，名闻天下，隆昌至极。,个性是一个好胜争强之人，永不服输，战斗意志高，总不畏辛劳来达成使命，一生容易功成名就，到哪儿皆能风光。为人性情刚毅，才德兼备，具有勇敢果断之精神，成就事业，也能博得名利之吉祥数，但恐性情过刚毅，且做事武断而招来不利。一生中对别人要求严苛，易起反感，很难结善缘，命运中阻力自然增多；但健康良好，财务也丰，可能很早就能当上主管或老板，不错喔。,"富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
34,火,凶,60,凶,破家,破家之身，见识短小，辛苦遭逢，灾祸至极。,一生中命运坎坷多难，挫折较多，在顺境中，也可能遭逢不测而导致一败涂地；所以须兼具大智大勇之才能，才能渡过重重难关，而至成功，否则容易沉沦惨遭淘汰，此数具有萧条寂寞之意，为人个性倔强，一意孤行，一遇挫折就会心灰意冷，以致无法排解，因之一生郁郁寡欢。此数有六亲缘薄之象，也容易受牵累，或纠缠不清，身体稍差，心情苦闷，常有厌世想法，此数常出英雄烈女。易受制于身体、经济、法律方面的困扰，而困苦不堪。,"凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
孤独运（妻不利夫或夫不利妻）。"
35,土,吉,95,吉,高楼望月,温和平静，智达通畅，文昌技艺，奏功洋洋。,脑子中充满创新，为人心地善良、忠厚，但处事消极，个性开朗，能广结善缘，能得朋友贵人相助，一生中也能自给自足。才能好，博学多艺，对文学艺术能获得成就，为人温和，而稍嫌守旧封闭，因此不足为首领格，很多事无法仰赖他人而须自立更生，但如有贵人相助较能成功。此数为保守温和之数，故较适于女性取之。兴趣广泛，学习却不精，虽可成通才，却不易在工作上达到顶尖成就。生活小康，喜欢清闲，善于安排人生，待人谦恭，婚姻美满。,"吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。
温和运（性情平和、能得上下信望）。"
36,土,凶,65,凶,波澜重叠,波澜重叠，沉浮万状，侠肝义胆，舍己成仁。,好像很容易遇上不满之事，或无端卷入是非纠纷中，因为人豪爽讲义气及容易管闲事，一生中为人打江山而不求回报，当自己有困难时，却不一定能得到别人帮助，真是舍己为人。为人智谋双全，但缺乏自主性及进取之心，故自己比较无法成事，而为他人谋事，却能获成功。乃有军师之才而无主管之格，如一心想工于心计，容易忧劳成疾。为人爱面子，常为财所苦，真是叫富屋贫人，外华内虚，也易受他人牵累。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
37,金,大吉,95,大吉,猛虎出林,权威显达，热诚忠信，宜着雅量，终身荣富。,一生做事恩怨分明，遇事能突破万难，如创业也能成功，算是智仁勇三全。财运丰厚，易受别人尊敬；当遇上困难时，能激起不屈不挠的精神，能以德服人，而得到声望。为人忠诚，言行合一，且具有独立的气魄，应可顺利发展获得成功。但此数理含有刚毅之数，故宜涵养德性，否则有损吉祥。是一个天生主管的格局，年轻时易当老板，待人宽厚，重生活享受，慷慨大方，也受尊敬及多数人欢迎。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。"
38,金,半吉,67,半吉,磨铁成针,意志薄弱，刻意经营，才识不凡，技艺有成。,生来聪明且博学多闻，做事也脚踏实地，但意志稍嫌薄弱，以致荒废事业而自失前程。一生精通研究策划、艺术，在学术方面有发展潜能，但执行力稍嫌不足，不适担任主管职位，如勉强领导则会力不从心，难成大事。因意志薄弱难以贯彻志望，虽具才学，但未能量力而为，有好高骛远倾向，以致一生平平凡凡到老亦难有成就。,"次吉祥运（表示多少有些障碍，但能获得吉运）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
39,水,吉,89,吉,富贵荣华,富贵荣华，财帛丰盈，暗藏险象，德泽四方。,一生中精力充沛，多才多艺，个性积极活泼，社交能力强，容易成为杰出政治家或企业家。此乃贵气之数，有否极泰来，富贵、长寿集于一身之象，是为众所钦佩之数。但有时会物极必反，阳生阴，阴生阳，乱了磁场，不能不谨慎。用钱很大方，恩怨分明，容易被评为爱出风头，个性急，在平稳中显不出威力，当面临困苦时，反而易成就功名。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。"
40,水,凶,45,凶,退安,智谋胆力，冒险投机，沉浮不定，退保平安。,一生中才智聪明，理想过高，对任何事都充满兴趣，但就是不易持久，也不易达到应有荣耀，若能安守本份，一生则可保平安。为人足智多谋，胆识过人，骄傲不逊，易受抨击，因之缺乏威望，一生也喜好冒险，投机取巧，为不吉之数。理想抱负多，也能积极进取，但最后成功的事业，往往不是自己原先的愿望，一生财禄虽不错，但出手大方，喜好排场，易生失败，要好好改进。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
41,木,大吉,98,大吉,有德,纯阳独秀，德高望重，和顺畅达，博得名利。此数为最大好运数。,为人宽厚，男性之最吉数。为人处事光明正大，肚量宽大且朋友多，智仁勇兼备，英雄出少年。上司及部属多为贵人，一生道途平顺，有如明月当空，心地善良。为人慈祥，才智胆识都有，向上前进，能成大事业博得好名利之吉祥数。,"首领运（智慧仁勇、立上位、能领导众人）。
富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。
男性双妻运（异性缘旺盛）。"
42,木,凶,66,凶,寒蝉在柳,博识多能，精通世情，如能专心，尚可成功。,虽聪明灵巧，但有一意孤行的倾向，一生想追求超乎现实的愿景，但不一定能成功，此个性适合做研究、开发工作。一生兴趣多，博学而不精，热心但不易持久，心地善良乐助人，交游广阔，能得人助且多才多艺，博得虚名。唯缺乏恒心毅力，做事不专一，多才少成，中年后恐怕会陷入逆境，为人具有感伤的气氛，宜培养文艺方面，潜心钻研当有所成就。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
43,火,凶,52,凶,散财破产,散财破产，诸事不遂，虽有智谋，财来财去。,给人感觉注重生活品味，一生中桃花多，为人责任心重，做事认真积极，为人恩怨分明，主观强，很容易一意孤行。用钱很大方，恋爱机会多，容易为情所困，虽能建立一时爱情，但基础不够坚稳，难免功败垂成。为人稍具才能，巧饰外表，掩藏劣点，如常故弄玄虚，终会露出马脚，因之失去信誉，宜脚踏实地，实事求是，才能有所成就。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
44,火,凶,55,凶,烦闷,破家亡身，暗藏惨淡，事不如意，乱世怪杰。,思想上感觉怪异，为人也超现实，不擅交际，金钱支配比较无计划，心中有理想，宁舍弃安逸享乐生活而去追求，以致精神生活不安，有时为人意志消沉，缺乏动力，故诸事不顺，多遇失败，以致身体病弱。中年后有发狂之象。但数理中，有隐名之怪杰、伟人、烈士、孝子或节妇也有出自此数。是一个爱憎分明，一生获得少，帮助也少之数理，一生经历漫长艰苦奋斗，很难一夜之间成功。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
45,土,大吉,98,大吉,顺风,新生泰和，顺风扬帆，智谋经纬，富贵繁荣。,此数温和大方且人缘佳，很受别人欢迎，看来性格较被动，容易获得贵人帮助与提拔，因兴趣多，但耐性差，所以常常是先苦后甘，出身虽不好，但能立定志业，善用智慧，有一切操之在我的决心，最后终有所成就。但时运差时，有时常遇事不做决定，就错失良机，若与运强者合伙共事，较易施展才华，为人好面子，不计较小事，算是不错之格。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。"
46,土,凶,48,凶,浪里淘金,载宝沉舟，浪里淘金，大难尝尽，大功有成。,此数为独立不怕艰苦之数，但此生工作事业不顺，常遭变数而功败垂成，为人意志薄弱，较易逢挫折，也易步入歧途，而身陷牢狱。一生难入顺境，家族及六亲缘薄，事业失败等不幸，应以服务心为重，方可转为幸运。须自立更生才能得财，一生中难得到意外之财，能适应任何环境，当得意时，却又容易受别人牵累或身体疾病的打击，而必须从头再起。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
47,金,大吉,98,大吉,点石成金,花开之象，万事如意，祯祥吉庆，天赋幸福。,一生中平顺度日，凡事能心想事成，人际关系和谐，偶遇困难，贵人会来协助，在生活过程中，常能逢凶化吉，做事总能脱颖而出，凡事刚开始时有拘束不如意，但时机成熟时，自能出人头地，家庭美满，子孙贤孝之大吉数。一生交际广，乐于助人，虽花费大，但财运丰，对部属宽厚，擅长为人排解纠纷，在外人缘特好。,"首领运（智慧仁勇、立上位、能领导众人）。
吉祥运（表示健全、幸福、名誉等）。
刚情运（性刚固执、意气用事）。"
48,金,吉,95,吉,古松立鹤,智谋兼备，德量荣达，威望成师，洋洋大观。,此数为容易间接掌握大权，做事能脚踏实地，虽不出名，但负重任，为幕后功臣。一生专精策划与协调，是一个足智多谋之人，是为军师之格。但为人性情镇静，略近消极，是一个有计划、有策略之人才。最好做谋士、顾问之工作，很适合与果敢勇断之士合作。一生贵人多，能受器重、受提拔，而得以一展长才，乐于助人，外缘好，重享受，用钱大方，财虽多，但开销也颇大。,"吉祥运（表示健全、幸福、名誉等）。
艺能运（富有艺术天才，对审美、艺术、演艺、体育有通达之能）。"
49,水,半吉,48,半吉,转变,吉临则吉，凶来则凶，转凶为吉，配好三才。,此数为一生如浮萍，居无定所，多生变动，生活容易陷入苦闷，创业过程总徘徊在不安定中，意识主观强，恩怨分明，性急缺耐性，做事常常半途而废，一生很难得到别人帮助。此数为忽东忽西，时南时北，飘动不定，是为吉凶不定之数。平常如不知开源节流，常为钱苦。,次吉祥运（表示多少有些障碍，但能获得吉运）。
50,水,凶,56,凶,小舟入海,一成一败，吉凶参半，先得庇荫，后遭凄惨。,此数容易在巅峰时突然走下坡路，一切好景不常，凡事应退守为吉，持盈保泰，以维持良好局面。一生温和谦虚待人，评价甚高，贵人多助，容易成名，但往往因自满又一意孤行，而尝到失败，幸贵人多助，才能够东山再起，为人外表上，看似有魄力，而内心却柔弱，易走投机路线，易造成好景不常。似会有六亲缘薄、亲人易分离、事业失败等之象，如以道德为重，或许能转为幸运。,凶数运（表示逆境、沉浮、薄弱、困难、多灾等）。
51,木,半吉,66,半吉,沉浮,盛衰交加，波澜重叠，如能慎始，必获成功。,此数为理想高，能奋力达成愿望不畏辛苦，能少年得志享有声望，对部属要求甚严之数，人生较不擅处理人际关系，如不妥善处理，容易阳、阴互克，物极必反，产生乐极生悲之象。早年就可享天赋异秉福份，无奈于中年后即陷入落魄困苦之境遇。为人性刚、骄傲，易失人和，请好自为之，一生若能独立奋斗就能事业有成，因为不重享受，把工作当娱乐，能享受工作乐趣陶醉在其中。,次吉祥运（表示多少有些障碍，但能获得吉运）。
52,木,吉,95,吉,达眼,卓识达眼，先见之明，智谋超群，名利双收。,一生会为理想而勇往直前，为人聪明能干，但时运不济，有怀才不遇之感，容易功败垂成。易遭外伤，能洞察先机，能见机行事，因之易得机会一跃成功，博得名利双收，有鲤鱼跃龙门之象。中晚年则需小心，因待人很温厚，常有贵人来助，可惜容易受制于意外事故，有一些事无法如愿。,"富贵运（多钱财、富贵、白手可获巨财）。
吉祥运（表示健全、幸福、名誉等）。"
